order,outcome,nestingvariable,lemur,contrast lower,contrast upper,difference
696,perc_won,MatSysPMK POL minus MON,yes,0.133277264,0.574948742,Yes
698,perc_won,MatSysPMK PRO minus MON,yes,-0.452056179,-0.191678235,Yes
700,perc_won,MatSysPMK POL minus PAN,yes,0.068719894,0.468479996,Yes
702,perc_won,MatSysPMK PRO minus PAN,yes,-0.575109246,-0.234224755,Yes
704,perc_won,MatSysPMK PRO minus POL,yes,-0.821983488,-0.489172608,Yes
706,strict three way,MatSysPMK PAN minus MON,yes,-0.266204855,0.165015857,No
708,strict three way,MatSysPMK POL minus MON,yes,-0.219029737,0.262364783,No
710,strict three way,MatSysPMK PRO minus MON,yes,-0.154042945,0.244223271,No
712,strict three way,MatSysPMK POL minus PAN,yes,-0.186198676,0.313984929,No
714,strict three way,MatSysPMK PRO minus PAN,yes,-0.110178561,0.295190833,No
716,strict three way,MatSysPMK PRO minus POL,yes,-0.218934438,0.259338254,No
718,strict three way,MatSysPMK PAN minus MON,yes,-0.253375149,0.180016954,No
720,strict three way,MatSysPMK POL minus MON,yes,-0.242903631,0.275434762,No
722,strict three way,MatSysPMK PRO minus MON,yes,-0.165805091,0.25843703,No
724,strict three way,MatSysPMK POL minus PAN,yes,-0.181753406,0.311441308,No
726,strict three way,MatSysPMK PRO minus PAN,yes,-0.13821289,0.300280657,No
728,strict three way,MatSysPMK PRO minus POL,yes,-0.210851029,0.265632395,No
730,strict female dominance,MatSysPMK PAN minus MON,yes,-0.270511017,0.164019239,No
732,strict female dominance,MatSysPMK POL minus MON,yes,-0.229632213,0.22142174,No
734,strict female dominance,MatSysPMK PRO minus MON,yes,-0.121456185,0.254081822,No
736,strict female dominance,MatSysPMK POL minus PAN,yes,-0.175961418,0.273523141,No
738,strict female dominance,MatSysPMK PRO minus PAN,yes,-0.07487155,0.308949342,No
740,strict female dominance,MatSysPMK PRO minus POL,yes,-0.128699139,0.281429593,No
742,strict female dominance,MatSysPMK PAN minus MON,yes,-0.254664919,0.178908417,No
744,strict female dominance,MatSysPMK POL minus MON,yes,-0.234704483,0.253352961,No
746,strict female dominance,MatSysPMK PRO minus MON,yes,-0.142325838,0.253991951,No
748,strict female dominance,MatSysPMK POL minus PAN,yes,-0.189873603,0.283281403,No
750,strict female dominance,MatSysPMK PRO minus PAN,yes,-0.114881622,0.293348051,No
752,strict female dominance,MatSysPMK PRO minus POL,yes,-0.193268427,0.289263195,No
754,strict male dominance,MatSysPMK PAN minus MON,yes,-0.180357924,0.213153011,No
756,strict male dominance,MatSysPMK POL minus MON,yes,-0.077958481,0.383830905,No
758,strict male dominance,MatSysPMK PRO minus MON,yes,-0.277774211,0.052162354,No
760,strict male dominance,MatSysPMK POL minus PAN,yes,-0.106434872,0.38352533,No
762,strict male dominance,MatSysPMK PRO minus PAN,yes,-0.294885602,0.044179905,No
764,strict male dominance,MatSysPMK PRO minus POL,yes,-0.473554815,-0.050567777,Yes
766,strict male dominance,MatSysPMK PAN minus MON,yes,-0.242529184,0.267760558,No
768,strict male dominance,MatSysPMK POL minus MON,yes,-0.227128172,0.27965719,No
770,strict male dominance,MatSysPMK PRO minus MON,yes,-0.259400628,0.232681051,No
772,strict male dominance,MatSysPMK POL minus PAN,yes,-0.239544908,0.287688986,No
774,strict male dominance,MatSysPMK PRO minus PAN,yes,-0.284343903,0.223566953,No
776,strict male dominance,MatSysPMK PRO minus POL,yes,-0.311095258,0.211200668,No
778,perc_won,Strata_Wilman S minus Ar,yes,0.249054716,0.53939956,Yes
780,perc_won,Strata_Wilman S minus Ar,yes,-0.617181209,0.089978084,No
782,strict three way,Strata_Wilman S minus Ar,yes,-0.109156035,0.337593018,No
784,strict three way,Strata_Wilman S minus Ar,yes,-0.192409271,0.305284357,No
786,strict female dominance,Strata_Wilman S minus Ar,yes,-0.149409026,0.244988862,No
788,strict female dominance,Strata_Wilman S minus Ar,yes,-0.220071708,0.259089933,No
790,strict male dominance,Strata_Wilman S minus Ar,yes,0.098482172,0.465023312,Yes
792,strict male dominance,Strata_Wilman S minus Ar,yes,-0.191742804,0.329601779,No
