outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
strict male dominance,sexratio,Yes,-0.912062465,-0.273296675,confident
perc_won,M_skew_index,No,-0.36468095,-0.222937125,confident
perc_won,M_skew_index,Yes,-1.46407305,-0.84331535,confident
strict three way,M_skew_index,No,-0.7777792,0.068395814,not
strict three way,M_skew_index,Yes,-0.873274865,0.090891492,not
strict female dominance,M_skew_index,No,-0.50799979,0.64038418,not
strict female dominance,M_skew_index,Yes,-0.67603885,1.2225979,not
strict male dominance,M_skew_index,No,-0.044780117,0.75373868,not
strict male dominance,M_skew_index,Yes,-0.024962157,1.0562102,not
perc_won,Synchrony,No,-0.51916274,-0.37121013,confident
perc_won,Synchrony,Yes,-1.458536,-0.732586685,confident
strict three way,Synchrony,No,-0.423956405,0.27196318,not
strict three way,Synchrony,Yes,-0.44211677,0.28854456,not
strict female dominance,Synchrony,No,-0.167124205,0.838288015,not
strict female dominance,Synchrony,Yes,-0.217546235,1.12523275,not
strict male dominance,Synchrony,No,-0.18898553,0.477953815,not
strict male dominance,Synchrony,Yes,-0.1906122,0.539255405,not
perc_won,relative_testes_mass,No,-0.094261834,0.016860548,not
perc_won,relative_testes_mass,Yes,1.26878235,2.2929864,confident
strict three way,relative_testes_mass,No,-0.47351728,0.141632675,not
strict three way,relative_testes_mass,Yes,-0.48968518,0.14100421,not
strict female dominance,relative_testes_mass,No,-0.7021811,0.20296273,not
strict female dominance,relative_testes_mass,Yes,-1.07422805,0.229794515,not
strict male dominance,relative_testes_mass,No,-0.186611155,0.38609738,not
strict male dominance,relative_testes_mass,Yes,-0.18423009,0.455758925,not
perc_won,female_average_relatedness,No,-1.28274375,-1.0326389,confident
perc_won,female_average_relatedness,Yes,-3.5678068,-1.7792143,confident
strict three way,female_average_relatedness,No,-0.760570725,0.49908431,not
strict three way,female_average_relatedness,Yes,-0.8255402,0.497958205,not
strict female dominance,female_average_relatedness,No,-0.620797175,0.594764255,not
strict female dominance,female_average_relatedness,Yes,-1.2411998,1.01282695,not
strict male dominance,female_average_relatedness,No,-0.427992745,0.59959375,not
strict male dominance,female_average_relatedness,Yes,-0.4643129,0.789354875,not
perc_won,perc_aggression_mm,No,0.57114703,0.68194726,confident
perc_won,perc_aggression_mm,Yes,-0.310062495,-0.014900186,confident
strict three way,perc_aggression_mm,No,0.474586365,1.4757456,confident
strict three way,perc_aggression_mm,Yes,0.46220769,1.52221285,confident
strict female dominance,perc_aggression_mm,No,-0.773270955,0.432059775,not
