outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
strict male dominance,sexratio,No,-1.4172153,-0.52326621,confident
strict male dominance,sexratio,Yes,-1.89619005,-0.678072635,not
perc_won,M_skew_index,No,-0.02633241,0.821976485,confident
perc_won,M_skew_index,Yes,-0.45864474,1.37816385,confident
strict three way,M_skew_index,No,-0.70337994,1.59934105,confident
strict three way,M_skew_index,Yes,-0.83731921,1.53341285,confident
strict female dominance,M_skew_index,No,-0.53421296,0.79575318,confident
strict female dominance,M_skew_index,Yes,-0.73242809,1.5296911,confident
strict male dominance,M_skew_index,No,-0.71480279,0.68026924,confident
strict male dominance,M_skew_index,Yes,-1.32244925,1.0721689,confident
perc_won,Synchrony,No,-0.56151043,-0.341997095,confident
perc_won,Synchrony,Yes,-2.2241484,-0.570003925,not
strict three way,Synchrony,No,-1.9593648,-0.27429137,confident
strict three way,Synchrony,Yes,-2.2647019,-0.296344615,confident
strict female dominance,Synchrony,No,-1.19597025,-0.007680449,confident
strict female dominance,Synchrony,Yes,-2.2562239,-0.25596687,confident
strict male dominance,Synchrony,No,-0.67850526,0.62377123,confident
strict male dominance,Synchrony,Yes,-1.2060935,0.96869078,confident
perc_won,relative_testes_mass,No,-0.43579587,-0.27876372,confident
perc_won,relative_testes_mass,Yes,-0.15442052,1.06976465,confident
strict three way,relative_testes_mass,No,-0.76641737,0.25968478,confident
strict three way,relative_testes_mass,Yes,-0.84407041,0.336613575,confident
strict female dominance,relative_testes_mass,No,-0.59535749,0.360595795,confident
strict female dominance,relative_testes_mass,Yes,-0.72927493,0.49663582,confident
strict male dominance,relative_testes_mass,No,-0.26834905,0.903436725,confident
strict male dominance,relative_testes_mass,Yes,-0.1673947,1.6001537,confident
perc_won,female_average_relatedness,No,-0.73744343,-0.564424575,confident
perc_won,female_average_relatedness,Yes,-0.62141089,0.30705498,confident
strict three way,female_average_relatedness,No,-1.43017105,-0.139301685,confident
strict three way,female_average_relatedness,Yes,-1.28991805,0.12602752,confident
strict female dominance,female_average_relatedness,No,-1.09267225,0.03921781,confident
strict female dominance,female_average_relatedness,Yes,-1.4909825,0.01974163,confident
strict male dominance,female_average_relatedness,No,-0.39824187,0.737906955,confident
strict male dominance,female_average_relatedness,Yes,-0.5710461,0.968522535,confident
perc_won,perc_aggression_mm,No,0.39017264,0.518444885,confident
perc_won,perc_aggression_mm,Yes,-0.26090073,0.081856459,confident
strict three way,perc_aggression_mm,No,0.31823429,1.50929255,confident
strict three way,perc_aggression_mm,Yes,0.30934238,1.48388425,confident
strict female dominance,perc_aggression_mm,No,0.17310931,1.1794126,confident
strict female dominance,perc_aggression_mm,Yes,0.35714778,1.71078015,confident
strict male dominance,perc_aggression_mm,No,-0.88186312,0.18266424,confident
strict male dominance,perc_aggression_mm,Yes,-1.3511161,0.168073125,confident
perc_won,males,No,-0.12033193,-0.037557272,confident
perc_won,males,Yes,-0.26386219,0.046203875,confident
strict three way,males,No,-0.19709168,0.47307812,confident
strict three way,males,Yes,-0.1253468,0.708539905,confident
strict female dominance,males,No,-0.15803919,0.46642221,confident
strict female dominance,males,Yes,-0.12347712,0.70034711,confident
strict male dominance,males,No,-0.40014285,0.44435118,confident
strict male dominance,males,Yes,-0.69045797,0.494914185,confident
perc_won,SocOrgPMK P minus G,No,0.16506558,0.245596202,confident
perc_won,SocOrgPMK S minus G,No,0.14157846,0.208629453,confident
perc_won,SocOrgPMK S minus P,No,-0.07114304,0.006643455,confident
perc_won,SocOrgPMK P minus G,Yes,0.60499779,0.854781353,confident
perc_won,SocOrgPMK S minus G,Yes,-0.04557229,0.501951791,confident
perc_won,SocOrgPMK S minus P,Yes,-0.80002351,-0.263297402,confident
strict three way,SocOrgPMK P minus G,No,-0.0275798,0.305415188,confident
strict three way,SocOrgPMK S minus G,No,-0.0783696,0.250150488,confident
strict three way,SocOrgPMK S minus P,No,-0.24415056,0.139770307,confident
strict three way,SocOrgPMK P minus G,Yes,-0.07180122,0.28554073,confident
strict three way,SocOrgPMK S minus G,Yes,-0.15565198,0.209075151,confident
strict three way,SocOrgPMK S minus P,Yes,-0.28743996,0.125899199,confident
strict female dominance,SocOrgPMK P minus G,No,-0.03191679,0.295069059,confident
strict female dominance,SocOrgPMK S minus G,No,-0.09578671,0.240381297,confident
strict female dominance,SocOrgPMK S minus P,No,-0.26546942,0.135705184,confident
strict female dominance,SocOrgPMK P minus G,Yes,-0.08279948,0.276781448,confident
strict female dominance,SocOrgPMK S minus G,Yes,-0.16450185,0.216578627,confident
strict female dominance,SocOrgPMK S minus P,Yes,-0.27852411,0.131988902,confident
strict male dominance,SocOrgPMK P minus G,No,-0.11084097,0.168048896,confident
strict male dominance,SocOrgPMK S minus G,No,-0.11153667,0.162595263,confident
strict male dominance,SocOrgPMK S minus P,No,-0.16803467,0.175537894,confident
strict male dominance,SocOrgPMK P minus G,Yes,-0.34022519,0.105474952,confident
strict male dominance,SocOrgPMK S minus G,Yes,-0.33794364,0.101139569,confident
strict male dominance,SocOrgPMK S minus P,Yes,-0.24329051,0.244250927,confident
perc_won,fissionfusion Yes minus No,No,-0.75158063,-0.615189483,confident
perc_won,fissionfusion Yes minus No,Yes,-0.95287059,-0.833435312,confident
strict three way,fissionfusion Yes minus No,No,-0.55945505,-0.221881638,confident
strict three way,fissionfusion Yes minus No,Yes,-0.54474713,-0.182656298,confident
strict female dominance,fissionfusion Yes minus No,No,-0.29733218,0.041918168,confident
strict female dominance,fissionfusion Yes minus No,Yes,-0.35616969,0.037721299,confident
strict male dominance,fissionfusion Yes minus No,No,0.28944767,0.625788248,confident
strict male dominance,fissionfusion Yes minus No,Yes,0.19725569,0.561538157,confident
perc_won,origin wild minus captive,No,-0.115381574,-0.059420006,confident
perc_won,origin wild minus captive,Yes,-0.132571443,0.042501513,confident
strict three way,origin wild minus captive,No,-0.190004353,0.076187697,confident
strict three way,origin wild minus captive,Yes,-0.191047877,0.107531088,confident
strict female dominance,origin wild minus captive,No,-0.156085205,0.126557295,confident
strict female dominance,origin wild minus captive,Yes,-0.149062782,0.159599164,confident
strict male dominance,origin wild minus captive,No,-0.080309099,0.147488522,confident
strict male dominance,origin wild minus captive,Yes,-0.065755567,0.352513924,confident
perc_won,female_infanticide Yes minus No,No,0.217047372,0.352740854,confident
perc_won,female_infanticide Yes minus No,Yes,0.420807264,0.711722842,confident
strict three way,female_infanticide Yes minus No,No,-0.084671717,0.2781326,confident
strict three way,female_infanticide Yes minus No,Yes,-0.118337982,0.278689292,confident
strict female dominance,female_infanticide Yes minus No,No,-0.113716892,0.256686457,confident
strict female dominance,female_infanticide Yes minus No,Yes,-0.174057457,0.252467283,confident
strict male dominance,female_infanticide Yes minus No,No,-0.177653385,0.137343014,confident
strict male dominance,female_infanticide Yes minus No,Yes,-0.331203935,0.117569592,confident
perc_won,MatSysPMK PAN minus MON,No,-0.290204227,-0.201044046,confident
perc_won,MatSysPMK POL minus MON,No,-0.238240116,-0.100505587,confident
perc_won,MatSysPMK PRO minus MON,No,-0.182522141,-0.103907106,confident
perc_won,MatSysPMK POL minus PAN,No,0.019411164,0.141877099,confident
perc_won,MatSysPMK PRO minus PAN,No,0.077767758,0.13123912,confident
perc_won,MatSysPMK PRO minus POL,No,-0.032439251,0.083465176,confident
perc_won,MatSysPMK PAN minus MON,Yes,-0.874844446,-0.587993669,confident
perc_won,MatSysPMK POL minus MON,Yes,-0.564882687,-0.074539926,confident
perc_won,MatSysPMK PRO minus MON,Yes,-0.879469946,-0.643570338,confident
perc_won,MatSysPMK POL minus PAN,Yes,0.166191728,0.720952374,confident
perc_won,MatSysPMK PRO minus PAN,Yes,-0.13790173,0.07497977,confident
perc_won,MatSysPMK PRO minus POL,Yes,-0.735777443,-0.196628456,confident
strict three way,MatSysPMK PAN minus MON,No,-0.349968056,0.01502759,confident
strict three way,MatSysPMK POL minus MON,No,-0.41699233,-0.005937379,confident
strict three way,MatSysPMK PRO minus MON,No,-0.17530826,0.148681362,confident
strict three way,MatSysPMK POL minus PAN,No,-0.23856314,0.154977612,confident
strict three way,MatSysPMK PRO minus PAN,No,0.003624034,0.306110171,confident
strict three way,MatSysPMK PRO minus POL,No,0.011592375,0.39103537,confident
strict three way,MatSysPMK PAN minus MON,Yes,-0.315962212,0.089022376,confident
strict three way,MatSysPMK POL minus MON,Yes,-0.411262677,0.027889279,confident
strict three way,MatSysPMK PRO minus MON,Yes,-0.198381263,0.162391262,confident
strict three way,MatSysPMK POL minus PAN,Yes,-0.282532671,0.127573906,confident
strict three way,MatSysPMK PRO minus PAN,Yes,-0.091500502,0.282067299,confident
strict three way,MatSysPMK PRO minus POL,Yes,-0.022834389,0.37440658,confident
strict female dominance,MatSysPMK PAN minus MON,No,-0.37151615,-0.016967854,confident
strict female dominance,MatSysPMK POL minus MON,No,-0.360473533,0.063125037,confident
strict female dominance,MatSysPMK PRO minus MON,No,-0.174034558,0.15704436,confident
strict female dominance,MatSysPMK POL minus PAN,No,-0.139764095,0.253214541,confident
strict female dominance,MatSysPMK PRO minus PAN,No,0.034327011,0.35108824,confident
strict female dominance,MatSysPMK PRO minus POL,No,-0.054168452,0.328417202,confident
strict female dominance,MatSysPMK PAN minus MON,Yes,-0.356724886,0.039593827,confident
strict female dominance,MatSysPMK POL minus MON,Yes,-0.366596574,0.075064718,confident
strict female dominance,MatSysPMK PRO minus MON,Yes,-0.164145437,0.198470097,confident
strict female dominance,MatSysPMK POL minus PAN,Yes,-0.20047104,0.23018406,confident
strict female dominance,MatSysPMK PRO minus PAN,Yes,-0.002959597,0.354630258,confident
strict female dominance,MatSysPMK PRO minus POL,Yes,-0.047165055,0.364522706,confident
strict male dominance,MatSysPMK PAN minus MON,No,-0.138025867,0.182923376,confident
strict male dominance,MatSysPMK POL minus MON,No,0.007913104,0.404173629,confident
strict male dominance,MatSysPMK PRO minus MON,No,-0.185039305,0.108651274,confident
strict male dominance,MatSysPMK POL minus PAN,No,-0.008840378,0.380204755,confident
strict male dominance,MatSysPMK PRO minus PAN,No,-0.208935025,0.082212885,confident
strict male dominance,MatSysPMK PRO minus POL,No,-0.422994216,-0.065331147,confident
strict male dominance,MatSysPMK PAN minus MON,Yes,-0.211326102,0.24615804,confident
strict male dominance,MatSysPMK POL minus MON,Yes,-0.10367467,0.390438618,confident
strict male dominance,MatSysPMK PRO minus MON,Yes,-0.169523982,0.276063815,confident
strict male dominance,MatSysPMK POL minus PAN,Yes,-0.09502737,0.346651108,confident
strict male dominance,MatSysPMK PRO minus PAN,Yes,-0.169986918,0.232585156,confident
strict male dominance,MatSysPMK PRO minus POL,Yes,-0.304091019,0.129315695,confident
perc_won,Strata_Wilman S minus Ar,No,0.414550036,0.715423698,confident
perc_won,Strata_Wilman S minus Ar,Yes,-0.107758221,0.443851365,confident
strict three way,Strata_Wilman S minus Ar,No,-0.042487247,0.368401592,confident
strict three way,Strata_Wilman S minus Ar,Yes,-0.054438077,0.368416361,confident
strict female dominance,Strata_Wilman S minus Ar,No,0.001832273,0.372233395,confident
strict female dominance,Strata_Wilman S minus Ar,Yes,-0.015324222,0.382853071,confident
strict male dominance,Strata_Wilman S minus Ar,No,0.024457939,0.378797947,confident
strict male dominance,Strata_Wilman S minus Ar,Yes,-0.205620931,0.288336532,confident
perc_won,sexbias_dispersal Female minus Both,No,-0.487471063,-0.248612925,confident
perc_won,sexbias_dispersal Male minus Both,No,0.308108993,0.567597679,confident
perc_won,sexbias_dispersal Male minus Female,No,0.781004425,0.856712953,confident
perc_won,sexbias_dispersal Female minus Both,Yes,-0.470302877,0.174333772,confident
perc_won,sexbias_dispersal Male minus Both,Yes,0.170882287,0.594052166,confident
perc_won,sexbias_dispersal Male minus Female,Yes,0.224016824,0.79830164,confident
strict three way,sexbias_dispersal Female minus Both,No,-0.265037631,0.135844414,confident
strict three way,sexbias_dispersal Male minus Both,No,0.171356928,0.490635084,confident
strict three way,sexbias_dispersal Male minus Female,No,0.208977398,0.570193799,confident
strict three way,sexbias_dispersal Female minus Both,Yes,-0.253332294,0.141493724,confident
strict three way,sexbias_dispersal Male minus Both,Yes,0.149383238,0.479014034,confident
strict three way,sexbias_dispersal Male minus Female,Yes,0.175992654,0.562888689,confident
strict female dominance,sexbias_dispersal Female minus Both,No,-0.120089835,0.287600944,confident
strict female dominance,sexbias_dispersal Male minus Both,No,0.174336804,0.50474021,confident
strict female dominance,sexbias_dispersal Male minus Female,No,0.054784405,0.457581116,confident
strict female dominance,sexbias_dispersal Female minus Both,Yes,-0.142584329,0.268308517,confident
strict female dominance,sexbias_dispersal Male minus Both,Yes,0.155407688,0.510292842,confident
strict female dominance,sexbias_dispersal Male minus Female,Yes,0.07096738,0.478685359,confident
strict male dominance,sexbias_dispersal Female minus Both,No,0.006769362,0.416377077,confident
strict male dominance,sexbias_dispersal Male minus Both,No,-0.284680498,0.011064176,confident
strict male dominance,sexbias_dispersal Male minus Female,No,-0.545285384,-0.150096973,confident
strict male dominance,sexbias_dispersal Female minus Both,Yes,-0.085769193,0.354042228,confident
strict male dominance,sexbias_dispersal Male minus Both,Yes,-0.356467692,0.025866796,confident
strict male dominance,sexbias_dispersal Male minus Female,Yes,-0.498710487,-0.091658486,confident
perc_won,jointaggression_females Yes minus No,No,0.15094018,0.234801995,confident
perc_won,jointaggression_females Yes minus No,Yes,-0.82641143,-0.608771812,confident
strict three way,jointaggression_females Yes minus No,No,-0.056913624,0.237991939,confident
strict three way,jointaggression_females Yes minus No,Yes,-0.112344774,0.235982002,confident
strict female dominance,jointaggression_females Yes minus No,No,-0.0497,0.260838788,confident
strict female dominance,jointaggression_females Yes minus No,Yes,-0.091296786,0.254918893,confident
strict male dominance,jointaggression_females Yes minus No,No,-0.19309543,0.077191996,confident
strict male dominance,jointaggression_females Yes minus No,Yes,-0.209101553,0.184679561,confident
perc_won,RelativeLactationDuration,No,-1.80486135,-1.63550175,confident
perc_won,RelativeLactationDuration,Yes,-1.0023001,0.95198267,not
strict three way,RelativeLactationDuration,No,-2.0547442,-0.914385075,confident
strict three way,RelativeLactationDuration,Yes,-2.0262285,-0.901271215,confident
strict female dominance,RelativeLactationDuration,No,-1.51293055,-0.48080207,confident
strict female dominance,RelativeLactationDuration,Yes,-2.2164654,-0.8148716,confident
strict male dominance,RelativeLactationDuration,No,0.3854305,1.3130926,confident
strict male dominance,RelativeLactationDuration,Yes,0.67435037,2.1753022,confident
perc_won,AlloMaternalCare_continuous,No,-0.360991845,-0.24505767,confident
perc_won,AlloMaternalCare_continuous,Yes,-2.12129885,-1.2369648,confident
strict three way,AlloMaternalCare_continuous,No,-0.95598145,-0.026126168,confident
strict three way,AlloMaternalCare_continuous,Yes,-0.992567495,-0.038203291,confident
strict female dominance,AlloMaternalCare_continuous,No,-1.1184242,-0.190704285,confident
strict female dominance,AlloMaternalCare_continuous,Yes,-1.5825155,-0.38411704,confident
strict male dominance,AlloMaternalCare_continuous,No,-0.71634198,0.387318135,not
strict male dominance,AlloMaternalCare_continuous,Yes,-0.960197665,0.38155754,not
perc_won,Park Yes minus No,No,0.171968005,0.263071386,confident
perc_won,Park Yes minus No,Yes,-0.388821282,0.189019072,not
strict three way,Park Yes minus No,No,0.022492135,0.320993456,confident
strict three way,Park Yes minus No,Yes,-0.057206539,0.29040268,not
