,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
85,perc_won,no dimorphic env_harshness,no,0.530249835,0.751503955
86,perc_won,dimorphic env_harshness,no,-0.51995487,-0.386481295
87,perc_won,no dimorphic env_harshness,yes,-2.03877925,0.031734448
88,perc_won,dimorphic env_harshness,yes,-1.53555265,-0.338662425
89,strict,no dimorphic env_harshness,no,-0.20451153,1.16527325
90,strict,dimorphic env_harshness,no,-0.83648995,-0.14392859
91,strict,no dimorphic env_harshness,yes,-0.180064655,1.38970965
92,strict,dimorphic env_harshness,yes,-0.854292255,-0.051997184
93,relaxed,no dimorphic env_harshness,no,-0.160820875,1.07269015
94,relaxed,dimorphic env_harshness,no,-0.77613892,0.120647575
95,relaxed,no dimorphic env_harshness,yes,-1.49006025,0.072579573
96,relaxed,dimorphic env_harshness,yes,-0.87087924,0.00638619
97,perc_won,no dimorphic rainfall_unpredictability,no,-0.29552797,-0.177498265
98,perc_won,dimorphic rainfall_unpredictability,no,-0.28131153,-0.14527681
99,perc_won,no dimorphic rainfall_unpredictability,yes,-1.27180345,0.24471366
100,perc_won,dimorphic rainfall_unpredictability,yes,-0.5689412,0.782445625
101,strict,no dimorphic rainfall_unpredictability,no,-0.95009924,0.050106837
102,strict,dimorphic rainfall_unpredictability,no,-0.61543061,0.059053376
103,strict,no dimorphic rainfall_unpredictability,yes,-0.97315324,0.10045431
104,strict,dimorphic rainfall_unpredictability,yes,-0.66676337,0.145475645
105,relaxed,no dimorphic rainfall_unpredictability,no,-0.71604682,0.25967667
106,relaxed,dimorphic rainfall_unpredictability,no,-0.821893575,0.088907781
107,relaxed,no dimorphic rainfall_unpredictability,yes,-1.5246669,-0.23786516
108,relaxed,dimorphic rainfall_unpredictability,yes,-0.8811954,0.050649442
109,perc_won,no dimorphic rainfall_annualvariation,no,0.175878545,0.319605495
110,perc_won,dimorphic rainfall_annualvariation,no,-0.112228035,-0.001884347
111,perc_won,no dimorphic rainfall_annualvariation,yes,-0.64523555,1.04366475
112,perc_won,dimorphic rainfall_annualvariation,yes,-0.492353935,0.89242527
113,strict,no dimorphic rainfall_annualvariation,no,-0.219978155,0.8823882
114,strict,dimorphic rainfall_annualvariation,no,-0.014955486,0.688505355
115,strict,no dimorphic rainfall_annualvariation,yes,-0.388741955,0.951970095
116,strict,dimorphic rainfall_annualvariation,yes,-0.072413825,0.67054158
117,relaxed,no dimorphic rainfall_annualvariation,no,-0.47670558,0.621215015
118,relaxed,dimorphic rainfall_annualvariation,no,-0.41302042,0.385456685
119,relaxed,no dimorphic rainfall_annualvariation,yes,-0.223653885,1.2654066
120,relaxed,dimorphic rainfall_annualvariation,yes,-0.398203445,0.3896377
121,perc_won,no dimorphic NDVI_Seasonality,no,-1.2929287,-1.12512725
122,perc_won,dimorphic NDVI_Seasonality,no,-0.241589865,-0.120786835
123,perc_won,no dimorphic NDVI_Seasonality,yes,-2.2672615,-1.1732411
124,perc_won,dimorphic NDVI_Seasonality,yes,-0.3527284,0.27877779
125,strict,no dimorphic NDVI_Seasonality,no,-1.73707785,-0.61338964
126,strict,dimorphic NDVI_Seasonality,no,-0.059964787,0.572801805
127,strict,no dimorphic NDVI_Seasonality,yes,-1.7725396,-0.58815828
128,strict,dimorphic NDVI_Seasonality,yes,-0.031673993,0.621067565
129,relaxed,no dimorphic NDVI_Seasonality,no,-1.4795986,-0.376476915
130,relaxed,dimorphic NDVI_Seasonality,no,-0.03084626,0.71611972
131,relaxed,no dimorphic NDVI_Seasonality,yes,-2.7280265,-1.08131885
132,relaxed,dimorphic NDVI_Seasonality,yes,-0.200213055,0.636445345
133,perc_won,no dimorphic female_canine_height,no,0.19371584,0.34899793
134,perc_won,dimorphic female_canine_height,no,-0.65405415,-0.488806605
135,perc_won,no dimorphic female_canine_height,yes,-1.38245725,-0.373337975
136,perc_won,dimorphic female_canine_height,yes,-1.110614,-0.32140163
137,strict,no dimorphic female_canine_height,no,-0.214790525,0.86892141
138,strict,dimorphic female_canine_height,no,-1.02101485,-0.281075545
139,strict,no dimorphic female_canine_height,yes,-0.25303558,0.858410935
140,strict,dimorphic female_canine_height,yes,-1.01300885,-0.246842845
141,relaxed,no dimorphic female_canine_height,no,-0.679027625,0.42422257
142,relaxed,dimorphic female_canine_height,no,-1.5805222,-0.659066575
143,relaxed,no dimorphic female_canine_height,yes,-1.89880625,-0.475158665
144,relaxed,dimorphic female_canine_height,yes,-1.7974651,-0.595160895
145,perc_won,no dimorphic male_canine_height,no,-1.2207433,-0.713331995
146,perc_won,dimorphic male_canine_height,no,-1.1414555,-0.948741215
147,perc_won,no dimorphic male_canine_height,yes,-2.66451445,-0.522549735
148,perc_won,dimorphic male_canine_height,yes,-1.10234155,-0.252221745
149,strict,no dimorphic male_canine_height,no,-1.4234397,0.610358285
150,strict,dimorphic male_canine_height,no,-1.62221575,-0.748272065
151,strict,no dimorphic male_canine_height,yes,-1.62190165,0.616356905
152,strict,dimorphic male_canine_height,yes,-1.5843653,-0.682771225
153,relaxed,no dimorphic male_canine_height,no,-1.1038341,0.31666511
154,relaxed,dimorphic male_canine_height,no,-1.71150245,-0.691078265
155,relaxed,no dimorphic male_canine_height,yes,-3.26850355,-1.574746
156,relaxed,dimorphic male_canine_height,yes,-2.3345526,-0.992235595
157,perc_won,no dimorphic females,no,-1.4424576,-1.2894245
158,perc_won,dimorphic females,no,-0.81654022,-0.663809635
159,perc_won,no dimorphic females,yes,-2.5388019,-1.91537245
