,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
385,perc_won,no dimorphic Strata_Wilman,no,1.35474195,2.01301365
386,perc_won,dimorphic Strata_Wilman,no,-0.6861424,-0.54316456
387,perc_won,no dimorphic Strata_Wilman,yes,-0.260058725,2.11843095
388,perc_won,dimorphic Strata_Wilman,yes,-2.479034,-1.13507005
389,strict,no dimorphic Strata_Wilman,no,0.19198915,1.2704257
390,strict,dimorphic Strata_Wilman,no,-0.62666177,-0.12405768
391,strict,no dimorphic Strata_Wilman,yes,0.214764535,1.3009342
392,strict,dimorphic Strata_Wilman,yes,-0.677325515,-0.118337975
393,relaxed,no dimorphic Strata_Wilman,no,-0.078692323,1.1064674
394,relaxed,dimorphic Strata_Wilman,no,-1.013497,-0.28801108
395,relaxed,no dimorphic Strata_Wilman,yes,-0.117372255,1.08822885
396,relaxed,dimorphic Strata_Wilman,yes,-1.35189075,-0.57251024
397,perc_won,no dimorphic origin,no,-0.25576651,-0.166745325
398,perc_won,dimorphic origin,no,0.045940398,0.17696051
399,perc_won,no dimorphic origin,yes,-0.300403495,0.014923971
400,perc_won,dimorphic origin,yes,0.859236975,1.24359485
401,strict,no dimorphic origin,no,-0.2202078,0.359574895
402,strict,dimorphic origin,no,-0.24765417,0.215192825
403,strict,no dimorphic origin,yes,-0.233988535,0.372422135
404,strict,dimorphic origin,yes,-0.25925785,0.219202435
405,relaxed,no dimorphic origin,no,-0.248945645,0.38682418
406,relaxed,dimorphic origin,no,-0.95278521,-0.27096684
407,relaxed,no dimorphic origin,yes,-0.211069195,0.46344054
408,relaxed,dimorphic origin,yes,-0.9786523,-0.26384661
409,perc_won,no dimorphic between_groupconflict,no,-0.73863774,-0.51584025
410,perc_won,dimorphic between_groupconflict,no,-0.26155886,0.28271701
411,perc_won,no dimorphic between_groupconflict,yes,-0.1660364,0.88445596
412,perc_won,dimorphic between_groupconflict,yes,-1.1785365,0.001056279
413,strict,no dimorphic between_groupconflict,no,-0.32025277,0.652345475
414,strict,dimorphic between_groupconflict,no,-0.626469155,0.280013585
415,strict,no dimorphic between_groupconflict,yes,-0.37948894,0.64543173
416,strict,dimorphic between_groupconflict,yes,-0.704040565,0.27877156
417,relaxed,no dimorphic between_groupconflict,no,-0.46983539,0.54209052
418,relaxed,dimorphic between_groupconflict,no,-1.30636365,-0.211791695
419,relaxed,no dimorphic between_groupconflict,yes,-0.45977912,0.670200195
420,relaxed,dimorphic between_groupconflict,yes,-1.3508807,-0.21014765
