,outcome,continuouspredictor,phylogeny,estimate lower,estimate upper,association_present
76,strict three way,rainfall_annualvariation,Yes,-0.2271327,0.74488612,not
77,strict female dominance,rainfall_annualvariation,No,-0.16227119,0.7792752,not
78,strict female dominance,rainfall_annualvariation,Yes,-0.226480405,0.92872109,not
79,strict male dominance,rainfall_annualvariation,No,-0.46194977,0.52833466,not
80,strict male dominance,rainfall_annualvariation,Yes,-0.647645755,0.672274725,not
81,perc_won,NDVI_Seasonality,No,-1.31231165,-1.13509515,confident
82,perc_won,NDVI_Seasonality,Yes,0.195667695,1.71386255,confident
83,strict three way,NDVI_Seasonality,No,-1.5006565,-0.42341027,confident
84,strict three way,NDVI_Seasonality,Yes,-1.57454755,-0.372683975,confident
85,strict female dominance,NDVI_Seasonality,No,-1.0432602,-0.054033126,confident
86,strict female dominance,NDVI_Seasonality,Yes,-1.51333735,-0.21831681,confident
87,strict male dominance,NDVI_Seasonality,No,0.28732104,1.3606721,confident
88,strict male dominance,NDVI_Seasonality,Yes,0.439932205,1.9644671,confident
89,perc_won,female_canine_height,No,0.17160183,0.31567026,confident
90,perc_won,female_canine_height,Yes,-0.35615339,0.37146111,not
91,strict three way,female_canine_height,No,-0.08525547,0.94591454,not
92,strict three way,female_canine_height,Yes,-0.166484115,1.04612855,not
93,strict female dominance,female_canine_height,No,-0.098345847,0.93529117,not
94,strict female dominance,female_canine_height,Yes,-0.092769473,1.22404245,not
95,strict male dominance,female_canine_height,No,-0.587969495,0.54179484,not
96,strict male dominance,female_canine_height,Yes,-1.2760819,0.504346865,not
97,perc_won,male_canine_height,No,-0.38570073,-0.22854799,confident
98,perc_won,male_canine_height,Yes,-0.302229745,0.444028585,not
99,strict three way,male_canine_height,No,-0.483474785,0.630555295,not
100,strict three way,male_canine_height,Yes,-0.543329405,0.619712105,not
101,strict female dominance,male_canine_height,No,-0.271052885,0.72942677,not
102,strict female dominance,male_canine_height,Yes,-0.389670135,0.886806015,not
103,strict male dominance,male_canine_height,No,-0.20922805,1.00321225,not
104,strict male dominance,male_canine_height,Yes,-0.28121045,1.52912495,not
105,perc_won,females,No,-0.84494733,-0.750457275,confident
106,perc_won,females,Yes,-1.6304398,-1.2688,confident
107,strict three way,females,No,-1.2891555,-0.50718032,confident
108,strict three way,females,Yes,-1.32959605,-0.54839083,confident
109,strict female dominance,females,No,-0.728295445,0.022668756,not
110,strict female dominance,females,Yes,-0.850828865,0.012163464,not
111,strict male dominance,females,No,0.596207375,1.4320708,confident
112,strict male dominance,females,Yes,0.92422998,2.0795776,confident
113,perc_won,males,No,-0.612114495,-0.522912075,confident
