"","outcome","continuouspredictor","phylogeny","estimate_lower","estimate_upper","association_present"
"110","strict female dominance","female_average_relatedness","Yes",-0.715,0.51,"not"
"280","strict female dominance","sexbias_dispersal Female minus Both","Yes",-0.231,0.196,"not"
"281","strict female dominance","sexbias_dispersal Male minus Both","Yes",-0.035,0.336,"not"
"282","strict female dominance","sexbias_dispersal Male minus Female","Yes",-0.019,0.362,"not"
"294","strict female dominance","jointaggression_females Yes minus No","Yes",-0.22,0.088,"not"
