"","predictorvariable","sample size categorical classification","number of species categorical classification","sample size percentage fights won","number of species percentage fights won"
"1","RelativeLactationDuration",154,63,97,49
"2","Park",253,121,151,84
"3","maleinfanticide",146,57,83,41
"4","AlloMaternalCare",206,97,125,68
