,nestingvariable,estimate.lower,estimate.upper
8,dimorphic MatSysPMK,-0.445,0.033
20,dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,-1.265,-0.406
32,dimorphic CanineDimorphism,-1.853,-0.816
80,dimorphic sexratio,0.439,1.141
284,dimorphic M_skew_index,-0.678,0.145
56,dimorphic Strata_Wilman,-0.677,-0.118
212,dimorphic sexualreceptivity_hours,-0.554,0.656
248,dimorphic relative_testes_mass,-0.57,0.161
380,dimorphic ovulation_signs,-0.721,-0.039
392,dimorphic Synchrony,-0.285,0.676
