,nestingvariable,estimate.lower,estimate.upper
3,no dimorphic MatSysPMK,-0.594,0.048
15,no dimorphic SexualDimorphism_MaleWeight_over_FemaleWeight,-0.824,1.189
27,no dimorphic CanineDimorphism,-3.249,-0.938
75,no dimorphic sexratio,1.188,1.587
279,no dimorphic M_skew_index,-1.723,1.372
51,no dimorphic Strata_Wilman,-0.26,2.118
207,no dimorphic sexualreceptivity_hours,-1.722,-0.603
243,no dimorphic relative_testes_mass,-0.92,0.113
375,no dimorphic ovulation_signs,0.354,1.12
387,no dimorphic Synchrony,-2.686,0.239
