	SexualDimorphism_MaleWeight_over_FemaleWeight	SocOrgPMK	CanineDimorphism	MatSysPMK	female_average_relatedness	female_dispersal	male_dispersal	sexbias_dispersal	jointaggression_females	jointaggression_males	Synchrony	r_seasonality_value	monopolization	testes_mass	body_mass	male_skew	cooperative_breeder	env_harshness	rainfall_unpredictability	female_canine_height	male_canine_height	female_evictions	homerange_overlap	female_infanticide	receptive_synchrony	sexualornamentdimorphism_sum	ovulation_signs	sexualreceptivity_hours	Strata_Wilman	StrictlyNocturnal_Wilman	female_mass	male_mass	rainfall_annualvariation	between_groupconflict	NDVI_Seasonality	M_skew_index	fissionfusion
Chlorocebus_pygerythrus	1.391198044	G	1.697171381	PRO	NA	NA	NA	NA	NA	NA	NA	NA	No	20.6	5290	NA	NA	NA	NA	12.02	20.4	NA	NA	NA	100	2	Present	NA	S	0	3802	5290	NA	Unbiased	NA	NA	No
Cercopithecus_diana	1.33242421	G	1.617193836	POL	NA	No	Yes	Male	Yes	No	NA	NA	Yes	NA	NA	NA	No	-0.995607164	-0.309218472	12.33	19.94	NA	66	NA	NA	1	Absent	NA	Ar	0	4383	5840	20658.77239	NA	NA	NA	No
Cercopithecus_campbelli	1.66695732	G	NA	POL	NA	No	Yes	Male	Yes	No	NA	NA	NA	NA	NA	NA	No	-0.855029672	-0.462811515	NA	NA	NA	55	No	NA	NA	NA	NA	Ar	0	3375	5626	27035.589	NA	NA	NA	No
Cercopithecus_solatus	1.75768921	G	NA	POL	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	-0.974745632	-0.670400589	NA	NA	NA	NA	NA	NA	NA	Absent	NA	Ar	0	4663	8195	12148.36165	NA	NA	NA	No
Cercopithecus_petaurista	1.51740251	G	1.777777778	POL	NA	NA	NA	NA	Yes	No	NA	NA	Yes	NA	NA	NA	No	-0.881013769	-0.578237112	9.09	16.16	NA	64.5	NA	NA	0	Absent	NA	Ar	0	3650	5539	33868.49133	NA	NA	NA	No
Trachypithecus_cristatus	1.14797555	G	1.697440585	POL	NA	No	Yes	Male	No	Yes	NA	NA	Yes	6.3	7000	NA	No	-1.141142952	-0.911098141	10.94	18.57	NA	12.5	No	NA	0	Absent	NA	Ar	0	6098	7000	13072.94527	NA	NA	NA	No
Trachypithecus_obscurus	1.26238148	G	1.814336075	PRO	NA	NA	NA	NA	No	Yes	NA	NA	No	5.82	7390	NA	No	NA	NA	8.51	15.44	NA	3	NA	NA	0	Present	NA	Ar	0	5854	7390	NA	NA	NA	NA	No
Cercocebus_torquatus	1.74717465	G	2.469045121	PRO	NA	NA	NA	NA	Yes	No	NA	NA	No	25.1	8680	NA	No	NA	NA	9.53	23.53	NA	NA	No	NA	0	Exaggerated	NA	Ar	0	4968	8680	NA	NA	NA	NA	No
Cercocebus_atys	1.774193548	G	NA	NA	NA	NA	NA	NA	Yes	No	NA	NA	NA	25.1	8680	NA	No	-0.546022735	-0.328551354	NA	NA	No	NA	No	NA	NA	NA	NA	Ar	0	4892	8680	14611.72381	NA	0.23490352	NA	No
Lophocebus_ougandae	1.17703669	G	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Arctocebus_calabarensis	1.02020134	S	1	POL	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	-0.761759913	0.252684261	3.96	3.96	NA	NA	NA	NA	NA	Absent	6	Ar	1	286	292	22023.50274	NA	0.259606843	NA	No
Callithrix_flaviceps	0.99	G	NA	PRO	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	-0.290248946	-0.091658196	NA	NA	NA	80	Yes	NA	NA	NA	NA	Ar	0	406	402	8046.108078	NA	0.177832763	NA	No
Callithrix_jacchus	0.95027867	G	1.056133056	PRO	0.375	Yes	Yes	Both	Yes	No	6.3	0.2	No	1.3	320	82	Yes	-0.298757414	0.556178206	4.81	5.08	NA	48.35	Yes	6.3	0	Absent	384	Ar	0	337	320	9864.973107	Unbiased	0.162259795	NA	No
Callithrix_penicillata	1.12075212	G	1.08	PAN	NA	NA	NA	NA	Yes	No	NA	NA	No	1.078	300	NA	Yes	-0.316856754	-0.167986034	5	5.4	NA	50	NA	NA	0	Absent	NA	Ar	0	268	300	13354.59337	Unbiased	0.068494362	NA	No
Tarsius_syrichta	1.14453678	S	NA	MON	NA	NA	NA	NA	No	No	0	NA	NA	0.72	140	NA	No	-1.018976032	0.518022718	NA	NA	NA	NA	NA	0	NA	Present	NA	Ar	0	122	140	14881.83231	NA	NA	NA	No
Daubentonia_madagascariensis	1.05232289	S	NA	PRO	NA	NA	NA	NA	No	No	0	NA	NA	NA	NA	NA	No	-0.707342692	-1.048420094	NA	NA	NA	57.5	NA	0	NA	Present	NA	Ar	1	2444	2572	16233.70909	NA	NA	NA	No
Eulemur_coronatus	1.18530485	G	1.112028302	PRO	NA	NA	NA	NA	Yes	No	NA	NA	No	6.96	1850	NA	No	-0.974820411	-0.513453233	8.48	9.43	NA	NA	NA	NA	2	Absent	NA	Ar	0	1561	1850	16020.80515	NA	NA	NA	No
Eulemur_flavifrons	0.9	G	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	0.109027736	NA	No
Eulemur_fulvus	0.96947557	G	1.176412289	PRO	0.24	No	Yes	Male	Yes	No	NA	NA	No	12.01633333	2315	66.7	No	NA	NA	10.09	11.87	Yes	75	Yes	5.5	0	NA	NA	Ar	0	2388	2315	NA	Unbiased	NA	NA	No
Eulemur_macaco	1.06822672	G	1.023210832	PRO	NA	No	Yes	Male	Yes	No	NA	NA	No	16.65	2500	NA	No	-0.898168391	-0.582203464	10.34	10.58	Yes	45.94	Yes	NA	1	Present	NA	Ar	0	2340	2500	22067.96191	NA	NA	NA	No
Eulemur_mongoz	0.9	P	1.194789082	MON	NA	NA	NA	NA	NA	NA	0	0.99	No	12.25	1660	NA	NA	NA	NA	8.06	9.63	NA	NA	NA	0	1	Absent	NA	Ar	0	1844	1660	23412.35834	NA	0.1380195	NA	No
Eulemur_rubriventer	1.1	P	1.051102204	MON	NA	NA	NA	NA	NA	NA	0	0.92	No	1.76	2512	NA	NA	NA	NA	9.98	10.49	NA	NA	NA	0	1	Absent	NA	Ar	0	2284	2512	17322.2133	NA	0.13564569	NA	No
Eulemur_rufifrons	0.9	G	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Galago_senegalensis	1.20081441	S	1.110803324	POL	NA	No	Yes	Male	No	No	NA	NA	NA	1.66	220	NA	No	NA	NA	3.61	4.01	NA	NA	NA	NA	NA	Present	48	Ar	1	183	220	NA	NA	NA	NA	No
Hapalemur_alaotrensis	1	P	NA	MON	NA	Yes	Yes	Both	Yes	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Hapalemur_griseus	1.11627807	P	1.005076142	MON	NA	Yes	No	Female	Yes	No	0	0.88	No	2.1	1094	91.5	No	NA	NA	5.91	5.94	NA	3	No	0	0	NA	NA	Ar	0	980	1094	NA	Malebiased	0.143377274	NA	No
Hapalemur_meridionalis	1	P	NA	MON	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Lemur_catta	1	G	1.18558952	PRO	NA	No	Yes	Male	Yes	No	1.5	0.97	No	17.8	2700	NA	No	-0.050671018	-2.19799465	9.16	10.86	Yes	25	Yes	2.55	0	Present	6	S	0	2700	2700	4863.452784	Femalebiased	0.080642206	-0.047174603	No
Leontocebus_tripartitus	0.957627119	G	NA	PAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Leontocebus_weddelli	1.005602241	G	NA	PAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Leontopithecus_rosalia	1.03665585	G	1.05	PAN	NA	Yes	Yes	Both	Yes	Yes	2.9	0.68	NA	1.48	550	100	Yes	0.091782278	-0.280516187	NA	NA	NA	61	No	2.9	NA	Absent	96	Ar	0	531	550	2239.877149	NA	0.053420053	NA	No
Lepilemur_leucopus	1.03873123	P	1.02	MON	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	-0.120588863	-2.465207339	NA	NA	NA	NA	NA	NA	NA	Absent	NA	Ar	1	700	727	2248.927917	NA	NA	NA	No
Lepilemur_ruficaudatus	0.97726248	P	1.06	MON	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	93	No	-0.207243374	-1.113323339	NA	NA	NA	7.21	NA	NA	NA	Absent	NA	Ar	1	779	761	7878.757552	NA	NA	NA	No
Loris_lydekkerianus	0.994791667	S	1.1	PAN	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	-0.522924521	1.48187962	NA	NA	NA	NA	No	NA	NA	NA	NA	Ar	1	NA	NA	20584.3121	NA	0.132375285	NA	No
Otolemur_garnettii	1.08220432	S	1.081125828	PRO	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	NA	NA	6.04	6.53	NA	90	Yes	NA	NA	Absent	NA	Ar	1	1016	1099	NA	NA	NA	NA	No
Perodicticus_edwardsi	0.956751055	S	NA	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Phaner_pallescens	0.9	P	NA	MON	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Prolemur_simus	1.1	G	1.005076142	PRO	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	1737	1911	NA	NA	NA	NA	No
Varecia_rubra	0.9	G	NA	PRO	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	-0.958843331	-1.372216002	NA	NA	NA	10.25	NA	0	NA	Absent	NA	Ar	0	NA	NA	12850.91705	NA	NA	NA	No
Varecia_variegata	1.0314855	G	1.038095238	PRO	0.22	No	Yes	Male	Yes	No	NA	NA	NA	22	4110	NA	No	-0.939919401	-0.979821891	12.6	13.08	NA	9.3	No	NA	NA	Present	14	Ar	0	3985	4110	15740.58885	Femalebiased	NA	NA	No
Propithecus_diadema	0.94932887	G	0.8639201	PRO	NA	No	Yes	Male	Yes	No	NA	NA	NA	NA	NA	NA	No	NA	NA	9.1	8.01	NA	5	No	NA	NA	Absent	NA	Ar	0	5905	5606	NA	NA	0.131749248	NA	No
Propithecus_coquereli	1	G	NA	PAN	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	-1.048049281	-0.934725872	NA	NA	NA	NA	NA	NA	NA	Absent	NA	Ar	0	NA	NA	22101.27843	NA	NA	NA	No
Propithecus_edwardsi	1	G	1.05	POL	NA	NA	NA	NA	Yes	No	0	NA	NA	8.21	5470	NA	No	-0.622971847	-1.541855327	NA	NA	Yes	NA	Yes	0	NA	Absent	NA	Ar	0	5470	5470	10991.30398	NA	NA	NA	No
Propithecus_coronatus	0.9	G	NA	PAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Propithecus_tattersalli	0.94364995	G	NA	POL	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	-0.781642668	-0.870706111	NA	NA	NA	NA	NA	NA	NA	Absent	NA	Ar	0	3545	3345	14521.37111	NA	NA	NA	No
Avahi_occidentalis	0.9	P	NA	MON	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	-1.141972823	-0.779042381	NA	NA	NA	NA	NA	NA	NA	Absent	NA	Ar	1	NA	NA	23090.37411	NA	NA	NA	No
Indri_indri	0.85214379	P	0.996134021	MON	NA	Yes	Yes	Both	No	No	0	NA	NA	NA	NA	NA	No	-0.938563108	-0.814330598	7.79	7.76	NA	25.15	NA	0	NA	Absent	NA	Ar	0	7918	6747	18946.92826	Unbiased	NA	NA	No
Propithecus_verreauxi	0.99203191	G	1.060529634	PRO	0.19	No	Yes	Male	Yes	No	NA	NA	No	3.24	3179	100	No	NA	NA	7.93	8.41	Yes	42.5	No	12.5	0	Present	24	Ar	0	3205	3179	NA	Malebiased	0.152153484	-0.15776	No
Microcebus_myoxinus	0.86	S	NA	PAN	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	-0.847281257	-0.276974381	NA	NA	NA	NA	NA	NA	NA	Absent	NA	Ar	1	NA	NA	18827.70531	NA	NA	NA	No
Microcebus_ravelobensis	1.1	S	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Microcebus_bongolavensis	1	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Microcebus_danfossi	0.93	S	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Microcebus_margotmarshae	0.8	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Microcebus_mamiratra	0.84	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Microcebus_murinus	0.98511194	S	0.995169082	PRO	0.36	No	Yes	Male	Yes	No	0.2	NA	NA	2.49	80	NA	No	-0.458256226	-0.866552942	2.08	2.07	NA	40	No	0.2	NA	Present	72	Ar	1	81	80	12768.58154	NA	NA	NA	No
Microcebus_lehilahytsara	0.99	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	NA	NA	NA	NA	No
Saguinus_geoffroyi	0.95982913	G	1.02	PAN	NA	Yes	Yes	Both	No	Yes	NA	NA	NA	NA	NA	NA	No	-1.627449705	-0.822871852	NA	NA	NA	48	NA	NA	NA	Absent	NA	Ar	0	499	479	25775.49441	NA	NA	NA	No
Saguinus_imperator	0.998002	G	NA	PAN	NA	Yes	Yes	Both	No	No	NA	NA	NA	NA	NA	NA	No	-1.049697363	-1.041891468	NA	NA	NA	0.5	NA	NA	NA	Absent	NA	Ar	0	482	481	12072.256	NA	0.135581654	NA	No
