	SexualDimorphism_MaleWeight_over_FemaleWeight	SocOrgPMK	CanineDimorphism	MatSysPMK	female_average_relatedness	female_dispersal	male_dispersal	sexbias_dispersal	jointaggression_females	jointaggression_males	Synchrony	r_seasonality_value	monopolization	testes_mass	body_mass	male_skew	cooperative_breeder	env_harshness	rainfall_unpredictability	female_canine_height	male_canine_height	female_evictions	homerange_overlap	female_infanticide	receptive_synchrony	sexualornamentdimorphism_sum	ovulation_signs	sexualreceptivity_hours	Strata_Wilman	StrictlyNocturnal_Wilman	female_mass	male_mass	rainfall_annualvariation	between_groupconflict	NDVI_Seasonality	M_skew_index	fissionfusion
Callicebus_moloch	1.06715902	P	1.079207921	MON	NA	Yes	Yes	Both	No	No	0	0.82	No	NA	NA	NA	No	-1.240663303	-1.897463934	4.04	4.36	NA	8	NA	0	0	Absent	NA	Ar	0	827	883	16489.8433	NA	NA	NA	No
Callimico_goeldii	1.03	G	NA	MON	NA	No	Yes	Male	Yes	No	6.4	NA	NA	NA	NA	NA	No	-1.143589617	-1.277072674	NA	NA	NA	0	No	6.4	NA	Absent	NA	Ar	0	557	573	8960.93632	NA	NA	NA	No
Mico_argentatus	0.98	NA	NA	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Mico_mellanurus	1.07	NA	NA	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Cebus_albifrons	1.38957786	G	NA	PRO	NA	No	Yes	Male	Yes	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	100	NA	NA	NA	Absent	NA	Ar	0	2503	3479	NA	NA	NA	NA	No
Cebus_capucinus	1.44918307	G	1.581576027	PRO	0.18	No	Yes	Male	No	Yes	1.5	0.46	No	NA	NA	60	No	-0.830895571	-0.644107502	9.01	14.25	No	89	No	5.5	0	Absent	NA	Ar	0	2629	3810	21204.42455	Malebiased	0.156152922	-2.5185	No
Cebus_olivaceus	1.30604045	G	1.573464912	POL	NA	No	Yes	Male	No	Yes	9.3	0.66	Yes	NA	NA	NA	No	NA	NA	9.12	14.35	NA	100	No	9.3	0	NA	NA	Ar	0	2481	3241	NA	Malebiased	0.178890304	NA	No
Chiropotes_sagulatus	1.192307692	G	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Lagothrix_cana	1.16	G	NA	PRO	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	Yes
Lagothrix_lagotricha	1.16649089	G	NA	PRO	NA	Yes	No	Female	Yes	No	4.3	0.59	No	11.2	5760	NA	No	NA	NA	NA	NA	NA	84.375	No	6.6	0	Absent	NA	Ar	0	4938	5760	NA	NA	0.196492942	NA	Yes
Lagothrix_poeppigii	1.037037037	G	1.916666667	PRO	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	47	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	Yes
Leontopithecus_chrysomelas	1.1595129	G	NA	MON	NA	Yes	Yes	Both	Yes	No	NA	NA	NA	NA	NA	NA	Yes	-0.597838364	-0.185046672	NA	NA	NA	11	Yes	NA	NA	Absent	NA	Ar	0	535	620	4440.043343	NA	NA	NA	No
Pithecia_aequatorialis	1.33	P	NA	MON	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	No	-1.413575672	-1.304506942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	1200	1596	9350.961901	NA	NA	NA	No
Pithecia_pithecia	1.22752506	P	1.319054653	MON	NA	NA	NA	NA	No	No	NA	NA	No	0.92	1600	NA	No	-1.306108127	-0.58256019	6.77	8.93	NA	29	No	NA	2	NA	NA	Ar	0	1303	1600	16749.84171	NA	0.183409595	NA	No
Saguinus_bicolor	0.99501248	G	NA	POL	NA	Yes	Yes	Both	Yes	No	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	480	478	NA	NA	NA	NA	No
Leontocebus_fuscicollis	0.96	G	NA	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Sapajus_libidinosus	1.57	G	1.512591815	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	0.098948634	NA	No
Saimiri_sciureus	1.17703669	G	1.414342629	PRO	NA	No	Yes	Male	Yes	No	45	NA	No	3.19	779.75	NA	No	-1.118817186	-0.777639926	5.02	7.1	NA	100	No	45	0	Absent	24	Ar	0	662	780	15154.96911	NA	NA	0.546757202	No
Saimiri_oerstedii	1.31916637	G	1.684444444	PRO	NA	Yes	Yes	Both	Yes	No	NA	NA	No	NA	NA	NA	No	NA	NA	4.5	7.58	NA	90	No	19.4	0	Present	NA	Ar	0	789	1040	NA	NA	0.256440834	NA	No
Saimiri_boliviensis	1.28145993	G	1.61407767	PRO	NA	No	Yes	Male	Yes	No	NA	NA	No	NA	NA	NA	No	-0.743456874	-1.13278684	4.12	6.65	NA	100	NA	45.1	0	Present	NA	Ar	0	615	788	9767.385549	NA	NA	NA	No
Saimiri_collinsi	1.30031315	G	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	0.178036005	NA	No
Aotus_	1.05258546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Callicebus_	1.044734044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Brachyteles_	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Sapajus_apella	1.44773461	G	1.409278351	PRO	NA	No	Yes	Male	No	Yes	1.2	0.66	No	6.126666667	3900	NA	No	-0.466947845	-0.656007912	9.7	13.67	No	75.5	No	NA	NA	NA	NA	Ar	0	2694	3900	NA	NA	0.196492942	NA	No
Lagothrix_lagotrhicha	1.16	G	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	Yes
Plecturocebus_cupreus	1.33	P	NA	MON	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Sapajus_cay	1.51	G	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	NA	NA	No
Sapajus_nigritus	1.47	G	NA	PRO	NA	No	Yes	Male	Yes	No	NA	NA	NA	NA	NA	NA	No	0.129408093	-0.269916803	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	Malebiased	0.064777663	NA	No
Cebus_imitator	1.56	NA	NA	PRO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	0	NA	NA	NA	NA	0.156152922	NA	No
Cebuella_pygmaea	0.90163934	P	1.023411371	MON	NA	NA	NA	NA	NA	NA	0	0.15	No	0.33	130	NA	NA	NA	NA	2.99	3.06	NA	NA	NA	0	0	NA	NA	NA	NA	144	130	NA	NA	0.220826654	NA	No
Brachyteles_hypoxanthus	1.05	G	NA	PRO	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	43.5	No	4.8	NA	NA	NA	Ar	0	NA	NA	NA	NA	0.082699152	NA	Yes
Hylobates_moloch	1.05337574	P	NA	MON	NA	NA	NA	NA	No	No	NA	NA	NA	5.9	5525	NA	No	-1.603747944	0.76362464	NA	NA	NA	8	NA	NA	NA	Present	NA	Ar	0	5245	5525	35340.84767	Malebiased	NA	NA	No
Nomascus_leucogenys	0.98	P	1.125441696	MON	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Slight	NA	Ar	0	NA	NA	19283.49452	NA	NA	NA	No
Hylobates_lar	1.10517092	P	1.160227992	MON	NA	Yes	Yes	Both	No	No	0	NA	No	5.5	5500	NA	No	-0.622578641	-0.060389923	15.79	18.32	NA	16.6666667	No	0	0	Present	96	Ar	0	4977	5500	19498.68559	Malebiased	0.205186863	NA	No
Symphalangus_syndactylus	1.02	P	1.18902439	MON	NA	Yes	Yes	Both	Yes	No	NA	NA	No	11.95	12270	NA	No	-1.386931813	-0.809922343	18.04	21.45	NA	24	No	NA	1	Absent	NA	Ar	0	12029	12270	19205.48233	NA	NA	NA	No
Pongo_pygmaeus	2.19021563	S	1.692789969	POL	0.05	Yes	Yes	Both	Yes	No	NA	NA	0	35.3	74640	NA	No	-1.683847261	-1.601624137	15.95	27	NA	62.5	No	NA	4	Absent	744	Ar	0	34079	74640	11573.67957	NA	NA	NA	No
Gorilla_beringei	1.95	G	1.80998196	POL	0.07	NA	NA	NA	Yes	No	NA	NA	Yes	28.96	164660	85	No	-0.665285125	-2.000411643	16.63	30.1	No	73.2	No	0.1	2	Present	48	G	0	84441	164660	3719.179168	Malebiased	0.094459819	0.434380517	No
Gorilla_gorilla	2.3821418	G	1.73908046	POL	0.06	Yes	Yes	Both	Yes	No	NA	NA	Yes	27.66	168625	78	No	NA	NA	17.4	30.26	NA	63.5	No	0.2	2	Present	84	G	0	70787	168625	NA	Malebiased	NA	NA	No
Pan_paniscus	1.35526906	G	1.385231317	PRO	-0.03	Yes	No	Female	Yes	Yes	14	NA	No	135.2	39100	19	No	-1.082642942	-1.835683173	11.24	15.57	NA	34.54	No	14	0	Exaggerated	360	S	0	28850	39100	5455.190794	Malebiased	0.122399582	0.058780277	Yes
Pan_troglodytes	1.26744112	G	1.423328965	PRO	0.01	Yes	No	Female	Yes	Yes	76	0.09	No	122.1666667	44505	38	No	-0.486958215	-1.429410374	15.26	21.72	No	16.75	Yes	59.35	0	Exaggerated	336	S	0	35114	44505	10093.56354	Malebiased	0.180673279	0.730267335	Yes
Macaca_nigra	1.8076	G	2.612478032	PRO	NA	No	Yes	Male	Yes	No	NA	NA	No	NA	47	NA	0	-1.197682897	-0.43138146	11.38	29.73	No	85	No	NA	0	NA	216	S	0	5.47	9.89	8176.7	NA	NA	1.937082174	No
Semnopithecus_entellus	1.31390024	G	1.702677747	POL	NA	No	Yes	Male	Yes	No	6.4	NA	No	11.5	60	72.2	0	NA	NA	10.83	18.44	No	35	Yes	50	0	NA	144	S	0	9.89	13	NA	NA	0.399855912	NA	No
Semnopithecus_schistaceus	1.3	G	NA	POL	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	0	NA	NA	NA	NA	NA	NA	No
Microcebus_griseorufus	0.9	S	NA	PRO	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	0	-0.082254328	-1.789484694	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ar	1	NA	NA	2162.12	NA	NA	NA	No
Lepilemur_edwardsi	0.97238837	P	NA	MON	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	0	-0.998428406	-0.813228061	NA	NA	NA	NA	No	NA	NA	NA	NA	Ar	1	NA	NA	23664.74	NA	NA	NA	No
